Task Name,Priority,Owner,Custom Status,% Completed,Tags,Work hours,Start Date,Due Date,Milestone Name,Predecessors,Successors
Subscriptions - Kurt to design flow,None,Kurt Scott,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Buttons on 2FA need some spacing,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Saving password logs out without telling the user why.,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Implement Pending Invitation Acceptance,None,"Andrew Morgan, Paul McAvoy",Closed,100,"""Dev Tasks""",00:00,,,Phase 8 - Launch Preparation,,
Audit sorting should be on checklist title and not directly on audit,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Audit sorting should be oldest scheduled first or newest scheduled first rather than created_at or updated_at,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Pagination styling,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Zone active states,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Spacing and colour left,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Images on safari bug,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Recurring checklist overflowing container,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Missing zone score,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"Empty state for ""No submitted checklists"" is wider than other boxes",None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Locations dropdown,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Hover effect on sidebar links,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Use location icons,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Error messages need fixed for accessibility,None,"Kurt Scott, Paul McAvoy",Closed,100,"""Design Needed""",00:00,,,Phase 8 - Launch Preparation,,
Handle 550 relay error when triggering reset password email,High,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Dropdown icon right,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Navigation has a slight delay,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Header image not displaying correctly.,None,"Kurt Scott, Paul McAvoy",Closed,100,,04:00,,,Phase 8 - Launch Preparation,,
Images still not right,None,"Kurt Scott, Paul McAvoy",Closed,100,,04:00,,,Phase 8 - Launch Preparation,,
Deleting a risk is deleting all risks,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Ad hoc tasks get validated silently,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"Change the navigation element to ""Manage Team"" rather than ""Manage Location""",None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
When a risk is collapsed but has validation this is difficult to see,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
No zone highlighted on dashboard,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Missing add audit,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Search not working,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Left arrow on hover,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
over 2 lines issue,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Didn't work adding Team,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
width,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Subscription triggered on wrong location,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
audits,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Wording change,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Access Risk Assessment,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Can we have a fade or transition,None,Kurt Scott,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Letter should be allowed,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Risk title when collapsed,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Style is off on new zone,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
delete should be in here,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Stop using lorem impslum please,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Somehow 4 numbers can be added,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Locations can't be deleted,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Dashboard Slider Totals,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Can we close these up,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Date picker,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
can we have a confirm here,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Probs need daily,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Loads of QA's,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Image quality,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Can this bar be sticky,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Clicking on this should take you to edit,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Can't do anything here without name,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Schedule checklist of risks,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Showing incorrect info,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Close up,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
submitted checks colour,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Checklist not showing,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Clicking save checklist,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
audit can be overdue?,Low,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Incomplete fields,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Sort by on tasks,None,"Andrew Morgan, Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"Set ordering on ""Tasks added"" on edit checklist page",None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Add in control descriptions while minimised,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Stuck on validation when trying to add control task,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Deleting second QA task leaves the primary collapsed with no way of opening it,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
When adding QA tasks the task title should dynamically be added for context,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
2FA page accessible for users without 2FA set up,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Risk Controls are able to be deleted from checklist task screen,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Card formatting on staff members needing some work,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Edit location triggering error,None,Andrew Morgan,Closed,100,,05:00,,,Phase 8 - Launch Preparation,,
Adding Risks to an active Risk Assessment triggers invisible validation,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Issues count behaving oddly before any issues have been raised,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Get Userback functional on live and staging environments,None,"Kurt Scott, Andrew Morgan",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Scheduled checklists generated by Risk Assessments are not generating their checklist instances correctly,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Role name aligning poorly,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Unassigned tasks not showing on checklist creator,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Add who scheduled ad-hoc booking,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Issues not showing / Increasing,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
filterZones in issues page is undefined,High,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Date within Issue card is erroring,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Risks are added even if there is an error in another risk,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Cannot delete QA tasks,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
User management pagination has issues,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Set link for help and support from the main menu,None,"Andrew Morgan, Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"made new account, 403 error",None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Ad-hoc check appeared with out me scheduling it,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Reset Password Error,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Schedule audits on Roseangle nursery is not showing zone options despite having checklist instances available,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
After risk assessment creation involving ad hoc task... the ad hoc checklist is scheduled for today.,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Remove start date... assume start date as date of creation,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Pick your package added to flow ahead of zones,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Per zone pricing on the standard package... restrict standard from unlimited zones to 5 zones.,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Next due not showing correct,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
When copying a checklist - You have incomplete fields needing attention before submitting,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Tried to add a manager to location,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Update branding on emails,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Deleted risk assessment - checklist remains there,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Show who you are signed in as,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
419 Page expired - choosing location on login,None,"Andrew Morgan, Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
A title is required for the risk assessment.,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Email deliverability issue,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Resolved issues still showing on Dashboard,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Location Statistics (Insurance in design),None,"Andrew Morgan, Paul McAvoy, Kasia Borzecka, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Checklist not deleting when risk assessment deleted,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Default to dynamic for risk control tasks,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Manage Devices,Low,"Andrew Morgan, Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Defaulting to scheduled when using magic wand,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Not all risk assessments showing in training,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Trying to view public sharing link - asking me to sign in,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
All risks in risk training showing same frequency,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
A title is required for this risk assessment,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Checklist title not updating when risk assessment title updating,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Changing location while in manage team does not change location,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Risk suggestion not working,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
identify completed audit from audit tab,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
wrong location showing while in risk training,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"""All Checklists"" - ad-hoc showing as scheduled",None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Training accuracy showing 100% although wrong answers chosen,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Server error when resending training link,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
cant view zone after being changed to 1 zone,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
 New User Registration Notifications,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Submitted today showing old checklists,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Upcoming today,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Clicking next training took me to another nursery risk assessment,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Show completed from previous days on submitted checklist,None,"Andrew Morgan, Paul McAvoy",In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Change trial period to 14 days,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Stop automatic audits happening until user has chance to create some checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Issues to show all submitted checklists they have been featured in,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Error finishing risk training / blank screen,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Save button,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
changes to audit,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
adding new location,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Multiple users on micro plan,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Email address not fitting in a box,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Page pagination,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Link to the website should open in a new tab,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Icons are not clear,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"When I click on the save risk assessment, I am taken to the QA step but the onboarding bar isn’t updated",None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Delete on Users doesn't work,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Overflow on mobile,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Menu on mobile shouldnt be scrollable,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Horizontal scroll doesnt work,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Alignment on Issues,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
issue stats not working,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
audits changing when adding new risk assessments,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
"disabled risk assessment checklists showing on dashboard as ""upcoming""",None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Failed verification message for user joining via invitation,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Notify superusers on new users registering,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
issue showing wrong name on who raised it,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Team member is struggling to get her code,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Audit Dashboard not showing zone name,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
No filter in issues when no issues outstanding,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
wrong name on issue raised,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
submitted checklists showing in alphabetical,None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Auto generated risk + risk controls not suggesting properly,None,Paul McAvoy,To Do,0,,00:00,,,Phase 8 - Launch Preparation,,
 Optimize media for fast loading,None,Andrew Morgan,Closed,100,,06:00,,,Phase 8 - Launch Preparation,,
 Implement image upload and retrieval,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Configure CDN storage (Amazon S3 / Cloudflare R2),None,Andrew Morgan,Closed,100,,06:00,,,Phase 8 - Launch Preparation,,
If zone or location is invalid... clear and redirect to selection screens,None,Andrew Morgan,Closed,100,,02:00,,,Phase 8 - Launch Preparation,,
If there is only one location then change location should not show in Settings screen,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Password covered by keyboard when loggin in (App) ,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Password white when logging in (Cant see block dots youd expect),None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Cant sign off on completed checklists on app ,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Task Status Inconsistency After Simultaneous Update,None,"Andrew Morgan, Paul McAvoy",Closed,100,,04:00,,,Phase 8 - Launch Preparation,,
App icons and splash screens required,None,"Paul McAvoy, Kasia Borzecka",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Error when raising an issue,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Can't take new photos when raising an issue,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Today Screen doesn't refresh when navigating back to it,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Issue with Full Screen Modal height calculation,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Missed Non-Recurring Tasks Handling (How do we deal with incomplete checklists from previous days?),High,"Andrew Morgan, Paul McAvoy",In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Auto reload when returning to the app,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Keyboard Avoiding View is broken on modals,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Checkbox already looks ticked,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Overdue status showing before end time of checklist instance,None,"Andrew Morgan, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Keyboard view gets in the way of staff selection on the code screen,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Issues not scoping to the location,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Issues should be scoped to only those raised on the task previously,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"If the control task in the checklist is quite long, you cant read all of the task.",High,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Order of checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
No sign of characters being entered in pin request,High,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Make the description overlay an icon rather than activated by clicking card,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"Checklists shouldn't be able to be started until the ""start time"" of the checklist ",High,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Partially completed checklist progress,High,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
iOS create issues modal needs some work - can't move to upload images while typing in the description field,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
App Store Screenshots,None,Kasia Borzecka,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Play Store Screenshots,None,Kasia Borzecka,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Overdue Checklists from Previous Days - Dropdown squashed and reloading,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Audit required text overlapping,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Completion task overlapping,None,Paul McAvoy,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Manager has not been prompted for audit while signed in as Jennifer Martin,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"Where has ""Walks and outings (Ad-Hoc Tasks)"" come from?  ",None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"""Manager not available"" when doing audit on phone",None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Remove the past due checklists from showing in the app,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Issue not registering properly,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
"""This title has already been used in the same zone"" when creating an issue on app ",None,Andrew Morgan,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Tasks if they are long dont fit,None,"Paul McAvoy, Kasia Borzecka, Matthew Martin",In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
"Rework ""audits"" in app so staff cannot bypass ",None,Unassigned User,To Do,0,,00:00,,,Phase 8 - Launch Preparation,,
Provide the Peachy tutorial video,None,Matthew Martin,In Review,0,,00:00,,,Phase 8 - Launch Preparation,,
Confirm registered office for adding to invoice emails,None,Matthew Martin,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Add developers to Stripe account,None,Matthew Martin,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Stripe details not showing test mode,None,Matthew Martin,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Confirm structure of the manager@example.com sample nursery setup,None,Matthew Martin,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
When creating Issues in the React Native app... should we be insisting the pin be entered so we can track exactly which staff member or admin was the author of the issue,None,Andrew Morgan,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Famly API key,None,Matthew Martin,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Move the email notification preferences away from register,None,Matthew Martin,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Open API key,None,Matthew Martin,Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Welcome staff user text,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 8 - Launch Preparation,,
Front End,None,Paul McAvoy,Closed,100,,00:00,,,Go Live,,
mtc. footer link,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Style and check all confirmation emails,None,Paul McAvoy,Closed,100,,00:00,,,Go Live,,
Icons,None,Paul McAvoy,Closed,100,,00:00,,,Go Live,,
Development,None,Andrew Morgan,In Review,0,,00:00,,,Go Live,,
Test site forms,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Bot protection for Forms,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Validation on forms working,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Implement 301 redirects,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Switch Payment Gateway to live,High,"Andrew Morgan, Matthew Martin",In Review,0,,00:00,,,Go Live,,
Transfer Stats Data,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Set visibility of site,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Public file uploaders restricted by file type,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Passwords encrypted,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Remove all test data,None,Paul McAvoy,Closed,100,,00:00,,,Go Live,,
Replace all staging / temp URLs with live domain,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Replace http references with https,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Switch to production mode,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
301 redirect to live domain,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Force www as subdomain,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Track Composer lock file,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Test Deploy Script,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Add QR Code to onboarding flow,None,Andrew Morgan,Closed,100,,00:00,,,Go Live,,
Projects,None,Alex Warner,Closed,100,,00:00,,,Go Live,,
Go Live Email From Client,None,Alex Warner,Closed,100,,00:00,,,Go Live,,
Has client been trained on their website,None,Alex Warner,Closed,100,,00:00,,,Go Live,,
Marketing,None,Yasmeen Ali,Closed,100,,00:00,,,Go Live,,
Redirects,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
nofollow / canonical / next & Previous URLs,None,Yasmeen Ali,Closed,100,,00:00,,,Go Live,,
Google Analytics,None,Yasmeen Ali,Closed,100,,00:00,,,Go Live,,
Unique Meta data on each page,None,Yasmeen Ali,Closed,100,,00:00,,,Go Live,,
Home Page meta data does not use default,None,Yasmeen Ali,Closed,100,,00:00,,,Go Live,,
XML sitemap and sanity check,None,Unassigned User,Closed,100,,00:00,,,Go Live,,
Site visibility,None,Yasmeen Ali,Closed,100,,00:00,,,Go Live,,
Validate Search Console,None,Yasmeen Ali,Closed,100,,00:00,,,Go Live,,
Post Launch Checks,None,Alex Warner,In Review,0,,00:00,,,Go Live,,
Update status in Zoho when site is live,None,Alex Warner,To Do,0,,00:00,,,Go Live,,
Site launch email,None,Alex Warner,To Do,0,,00:00,,,Go Live,,
CR15 | Add new QA task while in checklist creator,None,"Paul McAvoy, Matthew Martin",Awaiting Approval,0,"""Change request""",05:00,,,Post Launch Tasks,,
CR16 | Can we add in who created the specific risk & the specific risk controls and when they were added,None,"Paul McAvoy, Matthew Martin",Awaiting Approval,0,"""Change request""",02:00,,,Post Launch Tasks,,
