Task Name,Priority,Owner,Custom Status,% Completed,Tags,Work hours,Start Date,Due Date,Milestone Name,Predecessors,Successors
Show the full task description,None,"Kurt Scott, Paul McAvoy",Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
 Issue View,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Allow user to upload images as evidence,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Prompt the user for a description,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Mark the task as skipped via the API once the issue is submitted,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Add a new issue,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Assign to an existing issue,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Audits Interface - Manager Sign off,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Online/Offline Features,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
 Display an offline warning message,None,"Andrew Morgan, Paul McAvoy",Closed,100,,03:00,,,Phase 6 - React Native - Implementation,,
 Enable viewing of checklist tasks offline,None,Andrew Morgan,Closed,100,,06:00,,,Phase 6 - React Native - Implementation,,
 Enable viewing of today’s checklists offline,None,Andrew Morgan,Closed,100,,06:00,,,Phase 6 - React Native - Implementation,,
Checklist submission sync,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Track the  exact time a particular task was marked as complete,None,Andrew Morgan,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Make the create new issue notification to go online more prominent,None,Paul McAvoy,Closed,100,,00:00,,,Phase 6 - React Native - Implementation,,
Onboarding Flow,None,"Andrew Morgan, Paul McAvoy, Matthew Martin",Closed,100,,12:00,,,Phase 7 - Manager Dashboard Enhancements,,
Link out to terms and conditions on the sales site.  User must agree to be able to register.,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 7 - Manager Dashboard Enhancements,,
User is advised of how to download staff app in dashboard and as part of onboarding,None,"Paul McAvoy, Matthew Martin",Closed,100,,00:00,,,Phase 7 - Manager Dashboard Enhancements,,
Dashboard,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add dashboard link above zones / Fix active state,None,"Kurt Scott, Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Remove collapsing icon from zone selection,None,"Kurt Scott, Andrew Morgan",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add a link to scheduled checklists from zone filter,None,"Kurt Scott, Andrew Morgan",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add zone score to zone stats on dashboard,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Edit zone link from main menu,None,"Kurt Scott, Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
"Change ""Checklists"" on dashboard will now show any overdue checklists alongside upcoming checklists",None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
"Add ""Overdue"" badge for checklists on dashboard that are overdue",High,"Kurt Scott, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add submitted checklists carousel on dashboard,High,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Zone filtering needs to be seperated from main zone selection,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Zone active state should only trigger when in one of the 4 menu links within that zone,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Truncate zone name in zone selection slider,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add link to zone when zone is active in zone selection button,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add arrow on hover of slider to allow mouse users to move the slider,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Remove redirect to zones if no zone selected.  No longer relevant.,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Submitted checklists empty state slightly wider than other sections,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
"Add ""New"" badge for issues",None,"Andrew Morgan, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Scheduled Checklists,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add Status message to checklist card,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
"Every 1 months text should be ""Every month | Every 1st Tuesday""",None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
When saving a checklist schedule... zone is added to the route as a parameter and doesn't need to be.,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add start time and end time,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Start time for the scheduled checklist instance should be showing on cards,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Checklist,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Searching to filter down to 0 results should not show the empty state,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
When typing a checklist title slow typing is overwritten with a delay that sets the title back ,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Checklists first page should refresh with full first results when adding a task removes one,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Risk Assessments,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Risk Assessment start date populates the automatically generated scheduled checklist,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Risk Assessment card information,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
"Empty state message should hide the filter, sort by and count",None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Quality  Assurance,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
